Business Name,License Number,License Type,Business Type,District,City/Town,Pin Code,Issue Date,Valid Till,Owner/Contact,Mobile,Email,Address,State
Taj Mahal Restaurant,10AABCT1234567890,Central License,Restaurant,Mumbai,Mumbai,400001,15/03/2023,14/03/2024,Rajesh Kumar,9876543210,tajmahal@restaurant.com,123 Marine Drive Mumbai,Maharashtra
Spice Garden,10AABCT1234567891,State License,Restaurant,Pune,Pune,411001,20/05/2022,19/05/2025,Priya Sharma,9876543211,spicegarden@email.com,456 MG Road Pune,Maharashtra
Mumbai Masala,10AABCT1234567892,FSSAI Registration,Fast Food,Mumbai,Thane,400601,10/01/2024,09/01/2025,Amit Patel,9876543212,mumbaimasala@food.com,789 Thane West,Maharashtra
Coastal Delights,10AABCT1234567893,Central License,Restaurant,Ratnagiri,Ratnagiri,415612,25/07/2023,24/07/2024,Vikram Singh,9876543213,coastal@restaurant.com,321 Beach Road Ratnagiri,Maharashtra
Maharaja's Kitchen,10AABCT1234567894,State License,Cafe,Nagpur,Nagpur,440001,12/02/2023,11/02/2026,Neha Gupta,9876543214,maharaja@cafe.com,654 Sitabuldi Nagpur,Maharashtra
Flavors of India,10AABCT1234567895,FSSAI Registration,Cloud Kitchen,Pune,Pimpri-Chinchwad,411044,08/11/2023,07/11/2024,Suresh Desai,9876543215,flavors@kitchen.com,987 Chinchwad Pune,Maharashtra
The Golden Fork,10AABCT1234567896,Central License,Restaurant,Aurangabad,Aurangabad,431001,30/04/2022,29/04/2025,Deepak Joshi,9876543216,goldenfork@restaurant.com,147 Jalna Road Aurangabad,Maharashtra
Curry House,10AABCT1234567897,State License,Restaurant,Nashik,Nashik,422001,18/06/2023,17/06/2024,Anita Verma,9876543217,curry@house.com,258 Nashik Road,Maharashtra
Tandoori Palace,10AABCT1234567898,FSSAI Registration,Restaurant,Kolhapur,Kolhapur,416001,22/09/2023,21/09/2024,Ramesh Kulkarni,9876543218,tandoori@palace.com,369 Kolhapur City,Maharashtra
Bombay Bites,10AABCT1234567899,Central License,Fast Food,Mumbai,Navi Mumbai,400706,05/08/2022,04/08/2025,Kavya Reddy,9876543219,bombay@bites.com,741 Navi Mumbai,Maharashtra
Saffron Dreams,10AABCT1234567900,State License,Bakery,Solapur,Solapur,413001,14/03/2023,13/03/2026,Mohit Sharma,9876543220,saffron@dreams.com,852 Solapur City,Maharashtra
Royal Feast,10AABCT1234567901,FSSAI Registration,Restaurant,Sangli,Sangli,416416,27/10/2023,26/10/2024,Pradeep Nair,9876543221,royal@feast.com,963 Sangli Town,Maharashtra
Namaste Kitchen,10AABCT1234567902,Central License,Restaurant,Satara,Satara,415001,11/01/2024,10/01/2025,Sneha Iyer,9876543222,namaste@kitchen.com,147 Satara City,Maharashtra
Spice Route,10AABCT1234567903,State License,Cafe,Ratnagiri,Chiplun,415605,19/05/2023,18/05/2026,Arjun Menon,9876543223,spice@route.com,258 Chiplun Town,Maharashtra
Maharashtrian Cuisine,10AABCT1234567904,FSSAI Registration,Restaurant,Aurangabad,Paithan,431204,06/12/2023,05/12/2024,Divya Sharma,9876543224,maharashtrian@cuisine.com,369 Paithan Road,Maharashtra
Coastal Kitchen,10AABCT1234567905,Central License,Restaurant,Ratnagiri,Ratnagiri,415612,23/02/2024,22/02/2025,Rohan Desai,9876543225,coastal@kitchen.com,741 Ratnagiri Beach,Maharashtra
Urban Eats,10AABCT1234567906,State License,Fast Food,Pune,Pune,411002,09/07/2023,08/07/2026,Zara Khan,9876543226,urban@eats.com,852 Pune Downtown,Maharashtra
Heritage Restaurant,10AABCT1234567907,FSSAI Registration,Restaurant,Nagpur,Nagpur,440002,16/04/2023,15/04/2024,Vikram Patel,9876543227,heritage@restaurant.com,963 Nagpur City,Maharashtra
Fusion Flavors,10AABCT1234567908,Central License,Cafe,Mumbai,Mumbai,400002,28/11/2023,27/11/2024,Priya Nair,9876543228,fusion@flavors.com,147 Mumbai Central,Maharashtra
Garden Bistro,10AABCT1234567909,State License,Restaurant,Kolhapur,Ichalkaranji,416115,13/08/2023,12/08/2026,Anil Sharma,9876543229,garden@bistro.com,258 Ichalkaranji,Maharashtra
